P1,25.5,-21.75
P2,25.0,-21.75
P3,25.0,-20.5
P4,24.5,-20.5
P5,23.5,-20.5
P6,23.0,-20.5
P7,25.0,-23.0
P8,24.5,-23.0
P9,23.5,-23.0
P10,23.0,-23.0
P11,22.5,-20.0
P12,21.5,-20.0
P13,20.8,-12.0
P14,17.2,-12.0
P15,20.8,-11.0
P16,19.7,-13.0
P17,1.0,-12.2
P18,10.8,-9.8
P19,13.2,-9.0
P20,20.8,-5.2
P21,7.0,-6.8
P22,8.5,-6.8
P23,20.8,-4.8
P24,13.2,-4.0
P25,20.8,-1.2
P26,19.0,-1.2
P27,22.5,-20.5
P28,21.5,-20.5
P29,16.2,-14.0
P30,13.2,-14.0
P31,16.2,-13.8
P32,18.0,-13.8
P33,16.2,-9.8
P34,8.2,-12.0
P35,16.2,-7.8
P36,15.0,-7.8
P37,16.2,-6.0
P38,18.8,-6.0
P39,16.2,-3.2
P40,15.0,-3.2
P41,9.0,-3.8
P42,16.2,-1.8
P43,17.0,-1.8
P44,23.0,-21.0
P45,22.5,-21.0
P46,21.5,-21.0
P47,15.8,-14.8
P48,8.2,-14.0
P49,15.8,-11.8
P50,9.0,-11.2
P51,15.8,-10.2
P52,18.2,-9.0
P53,15.8,-9.2
P54,14.5,-11.3
P55,8.2,-11.5
P56,3.2,-9.0
P57,15.8,-2.8
P58,20.0,-2.8
P59,15.8,-0.2
P60,14.2,-1.0
P61,17.8,-1.5
P62,22.5,-21.5
P63,21.5,-21.5
P64,11.2,-14.8
P65,3.2,-14.0
P66,11.2,-13.0
P67,14.8,-13.0
P68,11.2,-10.2
P69,3.7,-12.5
P70,11.2,-9.8
P71,20.0,-8.2
P72,11.2,-6.2
P73,9.0,-6.2
P74,9.0,-6.8
P75,11.2,-5.2
P76,19.0,-6.3
P77,11.2,-4.8
P78,17.8,-4.0
P79,11.2,-1.8
P80,12.0,-1.8
P81,22.5,-22.5
P82,21.5,-22.5
P83,10.8,-15.2
P84,20.0,-13.2
P85,10.8,-12.2
P86,12.0,-12.2
P87,19.5,-14.2
P88,10.8,-9.8
P89,17.0,-7.2
P90,10.8,-6.8
P91,12.0,-6.8
P92,18.5,-6.3
P93,10.8,-4.8
P94,3.2,-4.0
P95,10.8,-1.2
P96,9.0,-1.2
P97,22.5,-23.0
P98,21.5,-23.0
P99,6.2,-14.8
P100,10.0,-13.2
P101,6.2,-10.2
P102,13.8,-11.0
P103,6.2,-9.8
P104,14.0,-11.3
P105,6.2,-8.2
P106,10.0,-8.2
P107,8.0,-10.8
P108,6.2,-5.2
P109,1.0,-6.8
P110,6.2,-3.8
P111,8.5,-3.8
P112,6.2,-2.8
P113,5.0,-2.8
P114,6.2,-1.8
P115,7.0,-1.8
P116,23.0,-23.5
P117,22.5,-23.5
P118,21.5,-23.5
P119,5.8,-13.2
P120,5.0,-13.2
P121,5.8,-12.2
P122,7.0,-12.2
P123,5.8,-10.2
P124,13.5,-11.3
P125,5.8,-7.8
P126,5.0,-7.8
P127,5.8,-6.0
P128,4.2,-6.0
P129,5.8,-2.2
P130,10.0,-2.8
P131,17.8,-2.5
P132,5.8,-1.0
P133,4.2,-1.0
P134,22.5,-24.0
P135,21.5,-24.0
P136,1.2,-14.8
P137,4.2,-11.0
P138,1.2,-12.7
P139,3.0,-12.7
P140,19.2,-11.0
P141,0.2,-9.8
P142,7.8,-9.0
P143,1.2,-5.2
P144,9.5,-6.8
P145,14.0,-6.2
P146,18.0,-6.3
P147,1.2,-4.8
P148,7.8,-4.0
P149,1.2,-1.8
P150,1.0,-1.8
S1,1.0,0.0
S2,2.0,0.0
S3,3.0,0.0
S4,4.0,0.0
S5,5.0,0.0
S6,6.0,0.0
S7,7.0,0.0
S8,8.0,0.0
S9,9.0,0.0
S10,10.0,0.0
S11,11.0,0.0
S12,12.0,0.0
S13,13.0,0.0
S14,14.0,0.0
S15,15.0,0.0
S16,16.0,0.0
S17,17.0,0.0
S18,18.0,0.0
S19,19.0,0.0
S20,20.0,0.0
S21,21.0,0.0
S22,1.0,-1.0
S23,6.0,-1.0
S24,11.0,-1.0
S25,16.0,-1.0
S26,21.0,-1.0
S27,1.0,-2.0
S28,6.0,-2.0
S29,11.0,-2.0
S30,16.0,-2.0
S31,21.0,-2.0
S32,1.0,-3.0
S33,6.0,-3.0
S34,11.0,-3.0
S35,16.0,-3.0
S36,21.0,-3.0
S37,1.0,-4.0
S38,6.0,-4.0
S39,11.0,-4.0
S40,16.0,-4.0
S41,21.0,-4.0
S42,1.0,-5.0
S43,2.0,-5.0
S44,3.0,-5.0
S45,4.0,-5.0
S46,5.0,-5.0
S47,6.0,-5.0
S48,7.0,-5.0
S49,8.0,-5.0
S50,9.0,-5.0
S51,10.0,-5.0
S52,11.0,-5.0
S53,12.0,-5.0
S54,13.0,-5.0
S55,14.0,-5.0
S56,15.0,-5.0
S57,16.0,-5.0
S58,17.0,-5.0
S59,18.0,-5.0
S60,19.0,-5.0
S61,20.0,-5.0
S62,21.0,-5.0
S63,1.0,-6.0
S64,6.0,-6.0
S65,11.0,-6.0
S66,16.0,-6.0
S67,21.0,-6.0
S68,1.0,-7.0
S69,6.0,-7.0
