PhotovoltaicUnit,DG_6_Photovoltaic,0FEA7221-8EF0-4BB1-93D0-B0BD2621D897
Location,DG_6_Loc,AD94AF4F-102E-4AF8-9798-FE9A0F8CF471
Terminal,DG_6_T1,6524A35C-7685-4B78-BC8B-FC52737BC523
PowerElectronicsConnection,DG_6,8251D53C-DFE6-410A-87DB-049C54215419
PowerElectronicsConnectionPhase,DG_6_A,E70DC5C9-12A3-4585-8F38-3D6341FAA011
PhotovoltaicUnit,DG_12_Photovoltaic,671C02AB-AA30-4D86-8087-C9F574DFEB7D
Location,DG_12_Loc,C942F660-2410-4B16-A926-AD154CAE5E45
Terminal,DG_12_T1,B05A5971-AB31-45AC-8834-BD505112E191
PowerElectronicsConnection,DG_12,A10A264D-F4FE-4137-A4AA-48852703AE09
PowerElectronicsConnectionPhase,DG_12_C,49D724E9-66EB-48F0-A2A1-9A837E12A9B8
PhotovoltaicUnit,DG_18_Photovoltaic,15B32DD9-85A3-4242-BBA8-7302E58765F2
Location,DG_18_Loc,BEF5C328-C071-4817-954D-6BC867F2A6F6
Terminal,DG_18_T1,4BF28785-881A-4388-BF2A-CC33BA57FF20
PowerElectronicsConnection,DG_18,A2F5167A-ED53-4425-8D4B-4927B50717AA
PowerElectronicsConnectionPhase,DG_18_A,ED8A0608-1813-41AF-B4CB-93F93A5B4FF4
PhotovoltaicUnit,DG_30_Photovoltaic,01A305B0-BAC9-4FB1-B995-FA4ED9EFB3E7
Location,DG_30_Loc,47C684D6-E82C-4D51-8809-D222A9DE5356
Terminal,DG_30_T1,2DE0F01B-B38F-4CCA-A7E7-00D0E8104C03
PowerElectronicsConnection,DG_30,16DBC6F6-A91B-41BE-A5A9-BD9B50D91EB9
PowerElectronicsConnectionPhase,DG_30_B,26310CA2-312E-4034-AC65-37E25AE40810
PhotovoltaicUnit,DG_36_Photovoltaic,627C3A3D-177D-44EF-A367-EC656C019637
Location,DG_36_Loc,10F6B6CD-0BEB-453A-9796-D7706D76897C
Terminal,DG_36_T1,AB36410D-AF76-4CC1-BB04-1B9EA6907908
PowerElectronicsConnection,DG_36,26FC9B97-7899-467A-9725-D2B418C8A0BB
PowerElectronicsConnectionPhase,DG_36_B,09E59F14-93CE-4F5B-8309-3FF5C28A5402
PhotovoltaicUnit,DG_42_Photovoltaic,1519A573-0029-4E16-A8EB-2E85E85CBF7D
Location,DG_42_Loc,B7CE24DC-902C-4E70-A903-E475CB66FBB8
Terminal,DG_42_T1,1AF761D2-8D7E-4F7A-8A4B-4EE30CBFF496
PowerElectronicsConnection,DG_42,0850E22F-B087-4DB0-93CC-9A52495177F0
PowerElectronicsConnectionPhase,DG_42_A,1F2390EE-3280-4EDC-A2A6-BF94DB3F8C7E
PhotovoltaicUnit,DG_48_Photovoltaic,CC482E2A-F388-4A93-908F-574C64965CB7
Location,DG_48_Loc,036827C6-B4B3-466A-B341-B20A08A1892D
Terminal,DG_48_T1,55458331-FE82-435F-ACC9-FB96E6742B20
PowerElectronicsConnection,DG_48,1388451B-884B-4B79-9D87-88F4BAC8A54E
PowerElectronicsConnectionPhase,DG_48_A,15028F05-3AAB-4AF4-BC9A-026F6BCF0136
PhotovoltaicUnit,DG_54_Photovoltaic,B1A7FB69-176A-4ED7-9C83-9B2A9A77B3E2
Location,DG_54_Loc,44F59795-1CD4-4927-840D-2EBF2A4316BD
Terminal,DG_54_T1,340C2FD2-AB66-40DF-8D6C-082830D805D4
PowerElectronicsConnection,DG_54,511ABEA0-C6EA-4616-B85F-DC7C173BFB92
PowerElectronicsConnectionPhase,DG_54_A,D133B996-55DE-4C85-99E3-1FF2E256D66D
PhotovoltaicUnit,DG_60_Photovoltaic,584373F7-F8F5-4AAF-AD70-9315E9801288
Location,DG_60_Loc,53C297C4-C0DD-436A-AB7E-003C1D0819FE
Terminal,DG_60_T1,74FB96DC-49B4-42BD-9318-E13FFADA5E2C
PowerElectronicsConnection,DG_60,0D486215-2F6C-41BC-8402-2742E6962179
PowerElectronicsConnectionPhase,DG_60_C,C7AB0B86-D181-4D19-8B81-1864B8432151
PhotovoltaicUnit,DG_66_Photovoltaic,1CFB39DA-BF6A-47C6-BA2A-A107F0A6FEC8
Location,DG_66_Loc,62842839-3E41-4408-8EF1-5B28B83D4A8C
Terminal,DG_66_T1,EE6B069D-5207-4668-8EFD-AFD048F8D5D4
PowerElectronicsConnection,DG_66,331DE761-3562-487F-84B4-25E61700BEED
PowerElectronicsConnectionPhase,DG_66_B,6DA92F85-7A9E-4EA6-B50B-26085C3338C0
PhotovoltaicUnit,DG_72_Photovoltaic,4A35BB70-EA00-4D33-A240-B1DA0434D75C
Location,DG_72_Loc,5CE8AC7B-0781-4098-BBA0-0A5CE7FC9B24
Terminal,DG_72_T1,72695333-295B-46D7-8453-F5432F576C49
PowerElectronicsConnection,DG_72,6AAC5F8E-8055-48D9-8399-4BB6A91114F5
PowerElectronicsConnectionPhase,DG_72_B,6C406A77-9B5B-4717-BFF7-0D185FD125E6
PhotovoltaicUnit,DG_78_Photovoltaic,13DC90A8-E348-4B7E-8B2E-B271FA02335B
Location,DG_78_Loc,B7B2AB27-55E0-4896-928E-32EA3CB3B7B1
Terminal,DG_78_T1,406AACB3-1F97-4F36-B829-F9BCEF76CE0C
PowerElectronicsConnection,DG_78,961714F8-B703-4F65-8C87-75E2304A396D
PowerElectronicsConnectionPhase,DG_78_B,8979F90B-3F7C-4B62-B07D-DF25C3DA9BF4
